Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,temp,temp_err,time,Da2,Da2_err
540.9102,10.02324,7.75241,0.0160449,0.0440066,0.0001391,396,300,10/06/2019,396.205172,2.916,296.604,6.47E-07,6.30E-08
165.7868,13.89168,0.96462,0.0024187,0.0126088,0.0000673,407,300,10/06/2019,407.0913,2.9972,296.689,4.24E-07,1.30E-08
157.3256,13.97308,0.57609,0.0021633,0.0114269,0.0000708,418,300,10/06/2019,417.736,2.93351,297,4.75E-07,1.30E-08
154.7304,13.07793,0.45163,0.0020809,0.0124434,0.0000872,430,300,10/06/2019,429.705172,1.8412,296.622,6.18E-07,2.98E-08
154.0359,12.75251,0.36869,0.0019209,0.0126822,0.0000948,439,300,10/06/2019,439.132,2.1779,296.628,7.36E-07,2.40E-08
223.6333,10.65297,0.40346,0.0019209,0.0143624,0.0000922,450,300,10/06/2019,450.255,2.4484,296.687,1.05E-06,2.42E-08
181.8223,11.44718,0.33788,0.0017692,0.0139936,0.0000855,458,300,10/06/2019,457.924,2.20703,296.611,1.19E-06,2.87E-08
200.909,9.580887,0.36293,0.0019209,0.0164487,0.0001,470,300,10/06/2019,470.118966,2.386912,296.636,1.60E-06,3.13E-08
220.3459,7.375626,0.45272,0.0019209,0.0209812,0.0001035,486,300,10/07/2019,485.839,2.1425,296.614,2.38E-06,2.10E-08
234.4348,6.739518,0.4892,0.0029547,0.0234299,0.000158,500,300,10/07/2019,500.11,2.1619,296.612,3.13E-06,4.78E-08
248.9017,5.462121,0.6035,0.0019209,0.0280193,0.0001115,515,300,10/07/2019,514.875,1.65628,297.687,4.41E-06,3.96E-08
268.3653,4.33214,0.76386,0.002,0.0349789,0.0001298,534,300,10/07/2019,534.267,2.183,296.693,6.63E-06,6.42E-08
282.8069,4.22833,0.80714,0.0019209,0.0351831,0.0001206,551,300,10/07/2019,550.786207,2.2494,296.622,8.00E-06,9.79E-08
292.8526,4.061536,0.83026,0.002,0.0356251,0.0001115,568,300,10/07/2019,568.081,2.5427,296.613,9.58E-06,1.01E-07
325.3464,5.122552,0.74064,0.0019209,0.0285901,0.0001044,576,300,10/07/2019,576.3344,2.33016,296.68,8.86E-06,7.91E-08
226.2638,46.78855,0.119452,0.0023049,0.0031204,0.0000597,440,3000,10/07/2019,439.91772,2.183911,2997.071,1.02E-07,5.85E-09
266.6484,33.12017,0.17631,0.0023707,0.0044069,0.0000609,470,3000,10/07/2019,470.033946,2.1761,2996.5,1.47E-07,8.32E-10
290.1834,15.22751,0.30418,0.0024187,0.0094247,0.0000708,500,3000,10/07/2019,500.179,2.1086,2996.57,3.23E-07,8.52E-10
311.5288,5.763537,0.68915,0.0024698,0.0255344,0.0000872,530,3000,10/07/2019,530.003846,1.9475,2996.559,9.41E-07,3.95E-09
351.6677,5.544736,0.81377,0.0029069,0.0300556,0.0000879,560,1800,10/08/2019,559.972,2.6635,1797.756,2.06E-06,1.16E-08
398.2405,6.709445,0.439163,0.0013285,0.0146442,0.0000617,593,600,10/08/2019,592.929661,3.23417,596.875,3.30E-06,3.20E-08
417.8556,17.84052,0.23887,0.0014591,0.0077474,0.0000659,604,300,10/08/2019,603.805172,4.4995113,296.61,3.67E-06,1.07E-08
441.1151,13.49091,0.32016,0.0018439,0.0100832,0.0000776,614,300,10/12/2019,613.86,2.8478,296.607,4.94E-06,1.34E-08
444.6834,12.12491,0.36822,0.0018439,0.0111164,0.0000776,621,300,10/12/2019,621.17069,2.7624683,296.622,5.67E-06,1.31E-08
482.4789,9.753199,0.47811,0.0019209,0.0136212,0.0000776,634,300,10/12/2019,634.1275,3.22146,297.678,7.26E-06,1.61E-08
551.6699,7.305745,0.73146,0.0018439,0.01769,0.0000708,650,300,10/12/2019,650.5,2.63545,296.609,1.00E-05,2.44E-08
485.9773,7.579651,0.61286,0.0018439,0.0171926,0.0000745,661,300,10/12/2019,661.625862,2.04,296.625,1.04E-05,1.70E-08
500.4041,7.410431,0.6506,0.0018439,0.0176886,0.0000715,672,300,10/12/2019,672.001,1.31,296.623,1.14E-05,1.93E-08
460.9219,8.777778,0.523959,0.0013695,0.0153621,0.0000592,680,300,10/12/2019,680.081034,0.87808,296.679,1.06E-05,1.76E-08
424.9371,10.54469,0.41159,0.0016971,0.0127694,0.0000799,687,300,10/12/2019,687.182759,0.69108,296.674,9.28E-06,1.87E-08
385.0994,9.942352,0.39922,0.0016971,0.0141001,0.000076,701,300,10/13/2019,701.124,0.6397122,296.615,1.08E-05,2.55E-08
328.4826,10.32421,0.34162,0.0016971,0.0136407,0.0000831,714,300,10/13/2019,713.972414,0.59906,296.686,1.10E-05,4.18E-08
298.0906,12.85349,0.251876,0.001562,0.0111558,0.0000799,723,300,10/13/2019,722.868966,0.54231,296.625,9.45E-06,2.98E-08
235.3718,44.17097,0.098017,0.0026661,0.0040631,0.0000563,625,1800,10/13/2019,625.1759,2.4872,1796.673,5.86E-07,3.38E-09
275.9145,32.6763,0.118826,0.0026752,0.0053397,0.0000595,650,1800,10/13/2019,649.834,1.86783495,1796.704,7.84E-07,2.01E-09
207.0719,20.80595,0.156805,0.0026979,0.0087651,0.0000616,680,1800,10/13/2019,680.00698,0.7233,1796.69,1.32E-06,2.73E-09
198.1623,11.60002,0.24449,0.0027786,0.0157447,0.0000932,712,1800,10/13/2019,711.984637,0.58382,1796.692,2.50E-06,9.06E-09
149.3508,13.14752,0.097047,0.0006544,0.0075919,0.000068,724,900,10/13/2019,723.924157,0.57374832,896.582,2.53E-06,1.20E-08
120.7926,17.96447,0.070192,0.0007021,0.0060709,0.0000627,737,600,10/13/2019,737.023,0.54438,596.79,3.13E-06,8.34E-09
155.7489,48.224,0.047657,0.0012528,0.0031967,0.0000592,745,300,10/13/2019,745.175862,0.5302,296.624,3.38E-06,1.15E-08
132.4368,37.24624,0.051788,0.0012419,0.0042298,0.0000687,756,300,10/13/2019,756.07069,0.40479,296.608,4.55E-06,7.95E-09
151.4473,43.89039,0.035886,0.0012278,0.0035194,0.0000621,756,300,10/14/2019,756.02586,0.44704,296.667,3.84E-06,1.61E-08
78.26823,28.22301,0.053265,0.0012369,0.0057457,0.0000627,774,300,10/14/2019,774.0172,0.42514721,297.695,6.38E-06,1.17E-08
92.91912,27.54941,0.052058,0.0012369,0.0058401,0.0000687,780,300,10/14/2019,780.043103,0.40179949,296.604,6.67E-06,1.55E-08
106.1366,27.14079,0.051678,0.0012369,0.0058323,0.0000646,787,300,10/14/2019,786.998276,0.31815884,297.625,6.82E-06,1.46E-08
158.0629,19.19423,0.091587,0.0012649,0.0080287,0.0000715,799,300,10/14/2019,798.963793,0.36500338,296.608,9.71E-06,8.95E-09
119.0948,16.78825,0.07327,0.0012618,0.0094551,0.0000776,805,300,10/14/2019,804.989,0.31936,297.596,1.19E-05,1.77E-08
101.8743,13.78778,0.097875,0.0012649,0.0113437,0.0000847,817,300,10/14/2019,816.925862,0.31319,296.679,1.50E-05,1.86E-08
141.0149,3.984051,0.283001,0.0009708,0.0255364,0.0001194,817,900,10/14/2019,816.975843,0.30722122,901.152,1.21E-05,9.20E-09
110.9875,15.24303,0.101261,0.0012781,0.0106711,0.0000745,831,300,10/14/2019,832.113,6.92808797,296.624,1.69E-05,3.56E-08
99.56284,11.21568,0.121049,0.0012649,0.0143104,0.0000905,842,300,10/14/2019,842.024,8.34,296.68,2.43E-05,3.36E-08
87.56026,5.144499,0.178696,0.0008276,0.0233292,0.0000932,842,600,10/14/2019,841.5788,7.05005,596.814,2.19E-05,1.75E-08
139.539,6.998601,0.229036,0.0014648,0.0230031,0.0001115,867,300,10/14/2019,867.601,4.6274,297.665,5.04E-05,3.47E-08
137.8804,7.512066,0.213424,0.0014151,0.0210159,0.0001097,878,300,10/14/2019,879.206897,4.19514,296.608,5.45E-05,5.37E-08
101.2603,7.137197,0.189222,0.0013507,0.0225106,0.000107,885,300,10/14/2019,885.234483,1.93559019,296.624,7.13E-05,4.15E-08
109.8113,6.238537,0.204198,0.00136,0.0250021,0.0001298,892,300,10/14/2019,892.134483,0.859937,296.613,9.95E-05,4.41E-08
168.7303,10.09995,0.182059,0.0013242,0.0153449,0.000088,898,300,10/14/2019,892.960345,4.953536,296.603,7.94E-05,4.82E-08
116.5338,8.313525,0.167905,0.0013118,0.0185714,0.0000931,907,300,10/14/2019,906.972414,1.47930675,296.606,0.000130164,2.10E-08
159.0943,11.67061,0.151468,0.0012962,0.0134623,0.0000831,916,300,10/15/2019,915.362069,1.74092409,296.624,0.000139977,2.90E-08
220.0208,17.00008,0.134282,0.0012888,0.0086923,0.0000673,925,300,10/15/2019,925.005172,0.97394521,296.675,0.000135265,2.84E-08
183.5755,18.87174,0.115317,0.0012781,0.0081371,0.000076,932,300,10/15/2019,932.077586,0.74857598,296.613,0.000207291,1.87E-08
105.1147,33.34147,0.192273,0.0015116,0.0075459,0.0001508,932,600,10/15/2019,928.909,2.63,597.372,0.000252233,7.72E-09
