Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,temp,temp_err,time,Da2,Da2_err
290.9363,3.727769,5.651195,0.005322,0.0766977,0.0001602,404,300,8/16/2019,405.918966,10.1988,296.61,4.66E-07,3.25E-08
169.3601,5.279387,1.849989,0.0019448,0.0313671,0.0001013,404,600,8/16/2019,403.595763,7.8956,596.881,2.28E-07,6.43E-08
216.6818,4.423216,1.165255,0.0009735,0.0322538,0.0000868,440,300,8/16/2019,441.177586,5.4833,296.614,6.34E-07,1.09E-08
212.9666,3.746204,1.329366,0.0016518,0.0376952,0.0001071,440,600,8/16/2019,440.010169,5.64263971,596.887,4.72E-07,8.97E-09
263.9447,3.20088,1.17859,0.0009704,0.0408083,0.0000902,475,300,8/16/2019,474.444,4.2765,296.684,1.40E-06,1.04E-08
241.283,2.829808,1.346396,0.0016407,0.0489666,0.0001203,475,600,8/16/2019,475.097458,4.3612,596.822,1.04E-06,8.64E-09
258.428,2.285207,1.313385,0.0011024,0.0576692,0.0001225,510,300,8/16/2019,509.768966,2.41604337,296.628,3.09E-06,2.08E-08
244.6405,1.957188,1.388935,0.0011933,0.067003,0.0001315,527,300,8/16/2019,527.174,2.65862,296.673,4.47E-06,5.25E-08
239.2,1.989486,1.29336,0.0010293,0.0655655,0.0001315,544,300,8/16/2019,544.005172,3.91127127,296.613,5.37E-06,3.82E-08
244.6567,1.816918,1.390858,0.0010648,0.0715112,0.0001315,561,300,8/17/2019,560.508621,3.51269688,296.699,7.05E-06,4.08E-08
256.7011,1.805344,1.424999,0.0011924,0.0716497,0.0001314,577,300,8/17/2019,576.903448,2.7435388,296.673,8.41E-06,3.14E-08
244.8605,8.718854,0.4243832,0.0042644,0.0142189,0.0000539,490,1800,8/17/2019,489.882402,2.4588385,1796.696,3.04E-07,1.64E-08
252.5487,4.627612,0.6686954,0.0042425,0.0262738,0.0000637,515,1800,8/17/2019,514.949721,1.8691,1796.766,5.87E-07,1.49E-09
260.1014,2.723193,0.9570098,0.0042211,0.0438383,0.0000828,535,1800,8/17/2019,534.996369,2.54253,1796.706,1.06E-06,2.37E-09
283.4974,3.579774,0.7783108,0.0013302,0.0373152,0.0001059,570,600,8/17/2019,570.733051,2.62590823,596.876,2.95E-06,4.59E-09
288.1153,3.767615,0.6876012,0.0005516,0.0328593,0.0000762,594,300,8/17/2019,594.044828,3.76615456,297.678,5.59E-06,2.35E-08
297.299,2.489026,1.114433,0.0014411,0.0513353,0.0001232,594,600,8/17/2019,594.12033,3.36377279,596.82,4.73E-06,1.26E-08
311.1493,3.951849,0.6980818,0.0005531,0.0315012,0.0000799,611,300,8/17/2019,610.453448,3.45442587,296.611,6.33E-06,2.67E-08
314.1979,2.557313,1.15239,0.0015156,0.0507394,0.0001261,611,600,8/17/2019,610.977966,3.47870532,595.951,5.49E-06,1.22E-08
340.4264,2.193906,1.311151,0.0010315,0.0550691,0.0001068,643,300,8/17/2019,643.112069,2.5872886,296.611,1.32E-05,1.56E-08
335.9751,1.983344,1.65787,0.0020389,0.0691216,0.0001639,643,600,8/17/2019,642.813559,2.15028979,596.876,9.24E-06,2.04E-08
363.7624,2.17759,1.50255,0.0014762,0.0584784,0.0001318,676,300,8/17/2019,676.081034,0.89628021,296.688,1.77E-05,3.60E-08
339.8695,2.050427,1.556827,0.0019629,0.0640263,0.0001472,676,600,8/18/2019,676.133898,0.90272336,597.391,1.08E-05,1.06E-08
340.8863,4.245014,0.7071534,0.0006573,0.0291619,0.000076,691,300,8/18/2019,691.151724,0.89565,296.687,1.08E-05,3.69E-08
318.9808,3.357767,0.9035909,0.0013631,0.0389786,0.000103,691,600,8/18/2019,691.129661,0.79370486,597.383,7.61E-06,8.40E-09
309.5615,4.490769,0.6138365,0.0005692,0.0275952,0.0000683,715,300,8/18/2019,714.932759,0.493248,296.617,1.16E-05,1.83E-08
278.3835,3.898279,0.6932539,0.0013225,0.0341383,0.0001047,715,600,8/18/2019,714.049153,0.72968,596.818,7.55E-06,6.41E-09
251.8598,2.144796,1.137789,0.001577,0.0633833,0.0001391,750,600,8/19/2019,750.023729,0.50309775,597.38,1.54E-05,1.94E-08
171.6911,1.89476,0.8645788,0.0041973,0.0672907,0.0000914,750,18000,8/19/2019,748.259777,1.83937694,1796.694,6.24E-06,3.92E-09
126.3336,3.504571,0.3705016,0.0012737,0.0385474,0.0001065,780,600,8/19/2019,780.022,0.39449438,596.807,1.21E-05,1.72E-08
113.131,2.701846,0.4464042,0.0012827,0.0508146,0.0001168,800,600,8/19/2019,799.990678,0.34566603,597.375,1.77E-05,1.45E-08
125.2631,2.725346,0.4591769,0.0005235,0.049741,0.0000923,826,300,8/19/2019,825.998276,0.3369,296.617,3.95E-05,2.52E-08
125.1166,1.097454,0.813463,0.0010845,0.0893797,0.000171,826,900,8/19/2019,825.000562,1.4459,896.595,2.87E-05,1.69E-07
127.4078,1.845377,0.7018846,0.001351,0.0760235,0.0001472,844,600,8/19/2019,842.455932,1.5483955,596.884,4.92E-05,1.88E-07
139.3008,1.527072,0.8686482,0.0014014,0.0921076,0.0001813,859,600,8/19/2019,859.022881,0.27344307,596.88,8.84E-05,3.88E-07
