Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,time,temp ,temp_err,Da2,Da2_err
133.8521,4.669441,26.07646,0.027171,0.2093999,0.0003252,377,300,09/09/2019,297.057,377.334483,5.3432,6.77E-07,8.91E-09
106.2745,5.154382,11.28263,0.0103561,0.0969748,0.0001792,394,300,09/09/2019,297.145,394.4672,4.347,7.72E-07,2.20E-08
130.3351,4.390702,8.3518,0.0091201,0.0924803,0.0001792,410,300,09/09/2019,297.138,409.801724,3.46625291,1.01E-06,4.80E-09
155.9033,3.521689,7.328695,0.0085554,0.1045896,0.0002176,427,300,09/09/2019,297.126,426.917241,2.98205969,1.59E-06,5.31E-09
178.6759,2.947784,6.669461,0.0081813,0.1160884,0.0002467,443,300,09/09/2019,297.151,443.091279,2.72746,2.24E-06,9.04E-09
197.3409,2.411099,6.293586,0.0080873,0.1308144,0.0002858,459,300,09/09/2019,297.071,459.0896552,2.717757696,3.16E-06,1.14E-08
196.7135,2.06964,5.993921,0.0077166,0.1489669,0.0003055,475,300,09/09/2019,297.071,474.9327586,2.851862299,4.47E-06,1.58E-08
192.5606,1.779788,5.783776,0.0075319,0.1707622,0.0003647,491,300,09/09/2019,297.117,490.887931,2.233012094,6.35E-06,1.92E-08
182.5877,1.528199,5.726021,0.0072569,0.1954804,0.0003845,506,300,09/09/2019,297.124,505.9517241,1.850295508,9.00E-06,2.03E-08
176.3473,1.253361,5.775206,0.0072559,0.2375924,0.0004937,522,300,09/09/2019,297.069,522.1913793,1.979569728,1.37E-05,3.43E-08
145.7081,12.0585,2.725266,0.018352,0.0334422,0.0002843,430,1800,09/10/2019,1797.145,429.9282123,2.695065028,3.62E-07,5.37E-09
155.9557,4.016401,4.404115,0.0183524,0.1021122,0.0003363,470,1800,09/10/2019,1797.156,470.0628492,2.279340839,1.18E-06,2.15E-09
163.5498,1.805218,5.708351,0.0184597,0.2226364,0.0003616,500,1800,09/10/2019,1797.213,500.1142458,2.198406188,2.97E-06,4.07E-09
176.6857,1.232223,5.356294,0.0182705,0.324823,0.0006678,550,600,09/10/2019,597.832,550.2974576,2.813807891,1.64E-05,1.11E-07
176.9471,1.480995,2.72869,0.0046857,0.1712965,0.0003746,568,300,09/10/2019,297.071,568.3913793,2.708419911,2.13E-05,1.11E-07
178.3239,0.6318649,5.256378,0.0052054,0.3114752,0.000572,568,900,09/10/2019,897.467,568.1955056,2.587231145,1.56E-05,1.11E-07
183.2473,0.9256517,3.32124,0.0041785,0.2004104,0.000413,584,600,09/10/2019,597.322,584.0457627,2.750559976,1.87E-05,1.67E-07
217.3579,1.979928,1.23835,0.0022672,0.0775654,0.000186,584,600,09/12/2019,596.877,583.9508475,2.591166644,8.15E-06,1.29E-08
234.055,5.748132,0.6735381,0.003309,0.0407124,0.0001417,599,300,09/12/2019,296.626,599.6362069,4.521050114,9.07E-06,5.90E-09
237.8139,4.819853,0.812077,0.0033127,0.0484704,0.0001417,614,300,09/12/2019,296.676,614.2517241,3.08898674,1.12E-05,3.79E-09
249.5013,3.980045,1.025812,0.0034,0.0587511,0.0001509,629,300,09/12/2019,296.635,628.6155172,3.658242399,1.43E-05,3.81E-09
259.4696,3.802943,1.101877,0.0034039,0.0607572,0.0001509,644,300,09/12/2019,296.697,644.3448276,2.729897653,1.57E-05,3.55E-09
271.1158,3.875534,1.131863,0.0034079,0.0595259,0.0001509,659,300,09/12/2019,296.611,659.7413793,2.791405009,1.63E-05,3.16E-09
284.9121,3.997018,1.126758,0.0034121,0.0570594,0.0001417,673,300,09/12/2019,296.61,673.1051724,2.304261682,1.66E-05,4.08E-09
287.5276,6.120979,0.756693,0.0033335,0.0370557,0.0001236,673,300,09/12/2019,296.617,673.1965517,2.167783695,1.13E-05,3.98E-09
280.8665,13.0667,0.2361355,0.0011193,0.0103869,0.0000816,600,900,09/12/2019,896.577,599.9719101,4.189575138,1.07E-06,7.37E-10
252.9671,4.955121,0.5177514,0.0013165,0.0262722,0.0000986,640,900,09/12/2019,897.083,640.1061798,2.776356188,2.77E-06,9.31E-10
252.3077,6.723751,0.3883073,0.0012181,0.0200388,0.0000949,680,900,09/12/2019,896.575,640.1117978,2.992368093,2.17E-06,6.91E-10
271.2241,3.195211,0.90086,0.0019849,0.046028,0.0001286,688,600,09/12/2019,597.389,688.1550847,1.301583353,7.75E-06,1.61E-09
276.5483,2.914685,0.96798,0.0019849,0.0493245,0.0001194,702,600,09/12/2019,596.874,702.0101695,0.699497968,8.79E-06,1.67E-09
260.9622,2.686454,1.00617,0.0020518,0.0550134,0.0001286,717,600,09/12/2019,596.798,717.0822034,0.619019262,1.04E-05,1.78E-09
235.0921,2.785113,0.87322,0.0019209,0.0531215,0.000138,731,600,09/12/2019,597.39,730.9576271,0.592316441,1.08E-05,1.79E-09
206.3769,3.172808,0.69958,0.0018601,0.0479721,0.000138,745,600,9/13/2019,597.35,744.9745763,0.56101045,1.04E-05,1.73E-09
175.6122,3.994761,0.48419,0.0018601,0.0377976,0.0001286,759,600,9/13/2019,596.815,756.3237288,1.089630845,8.75E-06,2.12E-09
170.979,3.261842,0.5713,0.0018601,0.0469511,0.0001475,773,600,9/13/2019,597.313,772.9661017,0.361908601,1.16E-05,1.48E-09
135.4425,4.50303,0.342162,0.0018028,0.0338385,0.000138,787,600,9/13/2019,597.374,781.2686441,3.582070717,8.90E-06,2.21E-09
132.5387,3.475926,0.426062,0.0018028,0.0447719,0.0001571,801,600,9/13/2019,596.878,797.2508475,3.36903308,1.26E-05,1.53E-09
130.1748,2.636559,0.55905,0.0018601,0.0587375,0.0001763,815,600,9/13/2019,596.895,812.0974576,3.585165587,1.83E-05,1.60E-09
118.9787,4.641221,0.9099569,0.0179187,0.0865674,0.0004346,815,1800,9/13/2019,1796.71,809.3153631,3.730743463,1.02E-05,1.71E-09
128.0275,5.69066,0.27275,0.0018028,0.026632,0.0001286,837,600,9/13/2019,597.323,822.859322,0.795633091,1.07E-05,5.30E-09
119.2793,6.514913,0.8457314,0.01791,0.0637657,0.0003822,837,1800,9/13/2019,1796.7,822.1773743,0.721084485,9.56E-06,2.05E-09
145.2199,1.655835,0.95689,0.0021213,0.0919514,0.0002152,863,600,9/13/2019,596.823,862.9822034,0.296311039,5.26E-05,7.23E-09
120.1566,3.432086,1.5332,0.0180292,0.1239618,0.0005083,863,1800,9/13/2019,1976.699,863.0111732,0.243660847,3.45E-05,1.60E-09
138.6376,4.406554,0.368097,0.0017972,0.0351516,0.000138,882,600,9/16/2019,596.835,881.9830508,0.252273452,5.39E-05,5.07E-09
109.4214,5.957601,0.6683887,0.0173119,0.0650553,0.0003616,882,1800,9/16/2019,1801.247,882.0122905,0.234227509,6.61E-05,1.07E-09
481.0814,12.37892,0.377083,0.0018028,0.010408,0.000063,900,600,9/16/2019,596.814,900.0279661,0.263404922,7.54E-05,3.00E-09
238.1873,21.15069,0.3368783,0.0173599,0.0170431,0.0002822,900,1800,9/16/2019,1796.685,899.9921788,0.244136279,0.000139004,8.55E-10
718.542,73.06294,0.109464,0.0015977,0.0015836,0.0000539,921,600,9/16/2019,596.821,920.9805085,0.198394614,inf,2.25E-09
