Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,temp,temp_err,time,cum_Ar39_,Cum_rel,Da2,Da2_err
139.5571,3.066072,1.193814,0.0027647,0.0549132,0.0001975,387,300,10/08/2019,386.9344828,2.978493186,296.615,0.0549132,5.5292746,8.99E-07,1.08E-09
109.0763,7.857127,0.182034,0.0014469,0.0177509,0.0001499,399,300,10/08/2019,399.2517241,2.921081353,296.637,0.0726641,7.316633568,6.75E-07,1.94E-08
121.8081,8.290425,0.173734,0.0014469,0.0169539,0.0001223,413,300,10/08/2019,412.9758621,3.04615434,296.628,0.089618,9.02374167,8.21E-07,1.94E-08
159.5475,7.911982,0.218984,0.0018557,0.0181083,0.0001593,427,300,10/08/2019,427.3517241,2.536349178,296.688,0.1077263,10.84708766,1.16E-06,1.99E-08
187.3361,8.557231,0.208844,0.0015243,0.0160108,0.0001313,435,300,10/08/2019,434.9655172,2.470922246,296.61,0.1237371,12.45923392,1.22E-06,2.99E-08
186.7875,12.05398,0.153191,0.0013652,0.0115261,0.0001003,435,300,10/08/2019,435.3258621,2.366251039,296.611,0.1352632,13.61981046,9.94E-07,2.21E-08
227.7388,8.631092,0.238354,0.0016042,0.0154192,0.0001133,450,300,10/08/2019,449.8482759,2.113884043,297.687,0.1506824,15.17238782,1.48E-06,1.72E-08
247.3179,7.708603,0.292674,0.0016042,0.0171336,0.0001133,461,300,10/08/2019,461.0482759,1.982399873,296.588,0.167816,16.89759013,1.87E-06,2.70E-08
252.8787,5.883198,0.400114,0.0016863,0.0232336,0.0001223,476,300,10/08/2019,475.6396552,1.618418077,296.662,0.1910496,19.2370086,2.91E-06,1.83E-08
247.9896,5.484625,0.398524,0.0016863,0.0245122,0.0001313,490,300,10/09/2019,490.1931034,2.188315227,296.611,0.2155618,21.7051708,3.56E-06,2.01E-08
225.4477,5.215209,0.394394,0.0016863,0.0257267,0.0001313,503,300,10/09/2019,503,1.968345997,297.671,0.2412885,24.29562244,4.29E-06,3.12E-08
220.4459,6.251083,0.325014,0.0016042,0.0224237,0.0001313,510,300,10/09/2019,510.2637931,1.740507919,296.609,0.2637122,26.55349113,4.25E-06,4.02E-08
162.8729,12.9213,0.079836,0.0009405,0.0072491,0.0000722,435,1800,10/09/2019,435.0706704,2.339217494,1796.688,0.2709613,27.28341152,2.44E-07,4.48E-09
170.7883,5.631649,0.215425,0.0012828,0.0176086,0.0001042,470,1800,10/09/2019,470.3351955,2.248782139,1796.669,0.2885699,29.05644214,6.28E-07,4.65E-09
217.0265,1.989159,0.721865,0.0016388,0.0496392,0.0001431,510,1800,10/09/2019,509.972905,1.771741439,1796.688,0.3382091,34.05467148,2.06E-06,6.41E-08
238.6746,3.455405,0.58212,0.0017804,0.0369257,0.0001343,535,900,10/09/2019,534.9893258,2.041946727,897.023,0.3751348,37.77276358,3.68E-06,1.16E-07
244.8875,3.137537,0.3950544,0.001201,0.0239257,0.0001189,548,600,10/09/2019,547.9635593,2.033088058,597.316,0.3990605,40.18187041,4.03E-06,2.88E-08
259.931,8.779638,0.256434,0.0014469,0.0149813,0.0000952,564,300,10/09/2019,564.0551724,2.577852528,296.62,0.4140418,41.6903551,5.48E-06,2.73E-08
257.1471,7.263085,0.317554,0.0014469,0.0181516,0.0000986,576,300,10/09/2019,575.5896552,2.262097277,296.672,0.4321934,43.51806103,7.06E-06,1.94E-08
259.4256,5.260375,0.452074,0.0015243,0.0250892,0.0001003,595,300,10/09/2019,595.1051724,3.341520949,296.687,0.4572826,46.04432204,1.06E-05,2.53E-08
278.1102,4.778954,0.521504,0.0014469,0.0280042,0.0001029,612,300,10/09/2019,611.4258621,3.552343449,296.686,0.4852868,48.86409783,1.30E-05,2.59E-08
297.9093,3.696939,0.712484,0.0015243,0.0353675,0.0001133,631,300,10/09/2019,631.0534483,2.936952443,296.669,0.5206543,52.42529294,1.84E-05,3.68E-08
324.1415,3.241632,1.293744,0.0017702,0.0391867,0.0000936,652,300,10/10/2019,652.2672414,1.982855281,296.691,0.559841,56.37104778,2.33E-05,5.70E-08
338.219,3.550327,0.837834,0.0015243,0.0361808,0.0001063,670,300,10/10/2019,669.8724138,1.024231523,296.596,0.5960218,60.01413503,2.46E-05,6.39E-08
339.6766,4.047112,0.733834,0.0014469,0.0312647,0.000102,685,300,10/10/2019,685.0051724,0.847581164,296.687,0.6272865,63.16221439,2.40E-05,2.73E-08
334.0497,4.66431,0.630504,0.0015243,0.0277063,0.0000961,701,300,10/10/2019,701.0741379,0.749867905,296.686,0.6549928,65.95199427,2.37E-05,1.73E-08
317.0747,5.350288,0.567784,0.0015243,0.0238747,0.0000994,716,300,10/10/2019,715.9448276,0.538083804,296.587,0.6788675,68.35596586,2.26E-05,2.01E-08
267.6527,5.867629,0.413654,0.0014469,0.0228715,0.0000986,734,300,10/10/2019,733.179661,6.878672177,301.17,0.701739,70.65892405,2.34E-05,2.35E-08
197.4298,5.442486,0.345754,0.0014469,0.02499,0.0001223,757,300,10/10/2019,757.0931034,0.413738653,297.59,0.726729,73.1751965,2.86E-05,3.09E-08
188.5193,6.52707,0.264356,0.0013294,0.0206175,0.0001124,780,300,10/10/2019,780.0017241,0.408459399,296.696,0.7473465,75.25119679,2.61E-05,2.60E-08
132.7755,67.003,0.044694,0.0039345,0.001955,0.0000578,610,3000,10/10/2019,610.0464883,3.420317564,2996.552,0.7493015,75.44804804,2.58E-07,2.83E-09
234.8168,48.31349,0.055792,0.00394,0.0026404,0.0000606,640,3000,10/10/2019,640.0222408,2.413638731,2996.569,0.7519419,75.71391301,3.52E-07,7.65E-10
186.46,23.62808,0.094376,0.0039571,0.0054686,0.0000639,680,3000,10/10/2019,679.9324415,0.921482524,2996.992,0.7574105,76.26455277,7.43E-07,1.04E-09
173.5421,14.79323,0.130775,0.0039959,0.008941,0.000078,710,3000,10/11/2019,710.006689,0.598229163,2996.554,0.7663515,77.16483256,1.26E-06,1.70E-09
140.8594,7.680141,0.27311,0.0042154,0.0189013,0.0001495,750,3000,10/11/2019,749.9854515,0.467366241,2996.569,0.7852528,79.06802666,2.85E-06,2.83E-09
136.5253,6.930786,0.597325,0.0022013,0.0203265,0.0001139,780,1800,10/11/2019,777.9731844,1.807595684,1797.684,0.8055793,81.11472581,5.66E-06,5.66E-09
162.7036,6.949821,0.23374,0.0017029,0.0188438,0.0001434,802,900,10/11/2019,801.9151685,0.380076152,896.533,0.8244231,83.01213017,1.18E-05,1.04E-08
175.8672,4.506636,0.2288344,0.0007018,0.0177247,0.0001026,813,600,10/11/2019,812.9932203,0.319382099,596.813,0.8421478,84.79685102,1.87E-05,1.17E-08
170.1426,9.154504,0.185915,0.0012279,0.0150951,0.0001046,821,300,10/11/2019,821.0293103,0.956970479,296.696,0.8572429,86.31679437,3.59E-05,1.90E-08
175.1808,6.432142,0.274209,0.0013365,0.0214863,0.0001089,830,300,10/11/2019,830.112069,2.813755534,296.609,0.8787292,88.48027515,5.94E-05,2.81E-08
190.2017,5.452887,0.328765,0.0013579,0.0249312,0.0001133,838,300,10/11/2019,837.3810345,3.807446854,296.615,0.9036604,90.99062696,8.40E-05,3.43E-08
203.5168,4.594352,0.388572,0.0013724,0.0290834,0.0001223,847,300,10/11/2019,846.887931,1.48336715,296.695,0.9327438,93.91906866,0.000134246,2.67E-08
208.4973,5.497446,0.344635,0.0013724,0.0241374,0.0001133,855,300,10/11/2019,855.3810345,1.491785331,296.677,0.9568812,96.34949182,0.000174275,2.96E-08
183.6406,7.786853,0.214747,0.0012151,0.0170163,0.0000969,862,300,10/11/2019,867.1396552,1.199844969,296.626,0.9738975,98.06288305,0.000216447,2.92E-08
222.756,18.84844,0.107437,0.0010379,0.0070861,0.0000659,867,300,10/12/2019,867.0965517,1.432206679,296.68,0.9809836,98.77639078,0.000156891,1.85E-08
215.3728,29.52135,0.076234,0.0010255,0.0044903,0.0000659,878,300,10/12/2019,878.4224138,1.976621529,296.695,0.9854739,99.22852436,0.000157518,1.33E-08
284.1792,40.21641,0.061679,0.0010066,0.0031104,0.0000615,884,300,10/12/2019,883.9706897,1.429391801,296.626,0.9885843,99.54171419,0.000177898,9.04E-09
347.411,36.47039,0.089143,0.0010465,0.0034843,0.000063,889,300,10/12/2019,889.2844828,1.824761626,296.614,0.9920686,99.89255245,0.000495477,7.23E-09
760.1954,138.0666,0.048512,0.0009996,0.0007623,0.0000591,896,300,10/12/2019,896.1706897,1.496429507,296.625,0.9928309,99.96930933,0.000428015,8.37E-09
