Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,temp,temp_err,time,Da2,Da2_err
361.8808,1.335161,7.797344,0.0084345,0.1843483,0.0003636,404,300,08/09/2019,404.2086207,2.798639048,296.693,3.10E-07,3.03E-09
276.197,2.25758,2.120513,0.004272,0.0774814,0.0002353,422,300,08/09/2019,422.0310345,2.661170228,296.617,3.16E-07,6.13E-09
306.6293,1.981698,2.225641,0.0044598,0.0887229,0.0002746,440,300,08/09/2019,439.9706897,2.273416829,296.686,4.96E-07,4.12E-09
320.0286,1.727146,2.558019,0.0047434,0.1053752,0.0002943,458,300,08/09/2019,458.2844828,2.411143845,296.679,7.76E-07,5.82E-09
318.7216,1.494554,2.763591,0.0044598,0.1200521,0.0002943,475,300,08/09/2019,474.9637931,2.06582028,296.612,1.22E-06,6.08E-09
310.1557,1.281774,3.046164,0.0040853,0.1397709,0.0003141,492,300,08/09/2019,492.3655172,1.932415244,296.628,1.81E-06,5.22E-09
302.0487,1.084893,3.594215,0.004272,0.1739197,0.0003636,510,300,08/10/2019,509.8913793,1.740768582,296.687,2.87E-06,8.95E-09
293.0973,1.00708,4.008949,0.0048384,0.2020399,0.0004331,527,300,08/10/2019,527.1,1.971552065,296.617,4.25E-06,5.93E-09
290.9421,0.9835469,3.944174,0.0048384,0.2026701,0.0004331,544,300,08/10/2019,544.0017241,2.254312933,296.627,5.32E-06,1.71E-08
296.9567,0.5858578,9.867875,0.0088012,0.4988093,0.0009117,544,1800,08/10/2019,544.0064246,2.112849327,1796.691,2.99E-06,1.70E-08
330.8698,0.7754614,4.673277,0.0052011,0.2114466,0.0004225,594,300,08/10/2019,593.6310345,2.807771602,296.639,1.01E-05,1.07E-07
353.6893,0.628481,12.96069,0.0110006,0.5448438,0.0009117,594,1800,08/10/2019,594.2081006,2.912374116,1796.689,5.60E-06,1.07E-07
389.0575,1.062168,5.380308,0.0058941,0.2027065,0.0004033,643,300,08/10/2019,642.362069,2.684316214,296.698,1.60E-05,1.07E-07
403.8559,1.043387,5.69401,0.0057974,0.2067987,0.0004033,659,300,08/10/2019,659.0465517,2.223890657,296.676,1.86E-05,6.35E-09
406.2358,1.076158,5.618267,0.0058941,0.2025345,0.0004033,676,300,08/10/2019,676.2586207,1.119842483,296.628,2.07E-05,9.22E-09
404.0157,1.148711,4.959135,0.005412,0.1796263,0.0003537,691,300,08/10/2019,690.9862069,0.843020525,296.624,2.07E-05,8.85E-09
394.7157,1.132262,4.575973,0.0048384,0.1695559,0.000324,707,300,08/10/2019,707.0965517,0.610138183,296.611,2.18E-05,7.84E-09
375.4963,1.197106,3.840026,0.0041785,0.1503924,0.0002943,723,300,08/10/2019,722.9293103,0.555043422,296.615,2.14E-05,4.40E-09
346.7949,1.146922,3.180192,0.0022672,0.1350997,0.0001867,739,300,08/10/2019,739.0396552,0.493088959,296.611,2.11E-05,6.01E-09
318.2634,1.015761,3.917956,0.0033541,0.1823407,0.0003438,769,300,08/10/2019,769.0706897,0.330341992,296.628,3.18E-05,4.78E-09
250.4457,1.273896,2.274207,0.0031765,0.1352965,0.0003141,785,300,08/10/2019,785.1172414,0.387587197,301.248,2.60E-05,5.46E-09
207.3082,0.6763227,1.96918,0.0025014,0.1411078,0.0003132,785,600,08/11/2019,784.9771186,0.382839373,596.815,1.52E-05,3.62E-09
174.6829,0.5283684,2.565659,0.0031081,0.2150164,0.0004723,785,1800,08/11/2019,784.9944134,0.367168166,1796.685,8.91E-06,1.69E-09
175.4406,1.247071,1.587579,0.0025,0.1320007,0.0003042,829,300,08/11/2019,829.0793103,0.244058248,296.612,3.86E-05,1.04E-08
168.0763,0.8490467,2.40708,0.0030017,0.2103089,0.0004431,844,300,08/11/2019,844.0534483,0.248656402,296.608,7.35E-05,8.14E-09
158.9744,0.5925039,3.388653,0.003265,0.3152305,0.0005726,859,300,08/11/2019,859.0310345,0.273513139,296.688,0.000155169,1.93E-08
153.3217,0.5821483,3.305915,0.0031765,0.3226557,0.0005925,873,300,08/11/2019,873.0551724,0.244355517,296.605,0.00030351,2.68E-08
170.659,1.071554,1.81878,0.0025807,0.1567649,0.000324,888,300,08/11/2019,887.962069,0.246965859,296.671,0.000406082,1.64E-08
275.5627,3.167551,0.9812534,0.0020518,0.0504725,0.000139,902,300,08/11/2019,901.9931034,0.219937845,296.671,0.000453966,3.46E-09
463.7045,7.612777,0.6378565,0.0019849,0.0181679,0.0000847,916,300,08/11/2019,916.0293103,0.178697648,296.686,inf,2.16E-09
