Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,temp,temp_err,time,Da2,Da2_err
199.0807,3.190231,8.49511,0.007713,0.1206533,0.0002061,389,300,9/18/2019,388.4568966,2.930487779,296.693,9.01E-07,1.50E-08
204.7395,7.42111,1.06144,0.003,0.0250769,0.000107,397,300,9/18/2019,397.0137931,3.124686554,296.688,4.13E-07,1.34E-07
220.4613,7.649755,1.08059,0.0042638,0.029715,0.0001366,397,600,9/18/2019,396.4805085,2.470034377,597.338,2.93E-07,6.16E-09
219.1145,11.72163,0.45507,0.0024083,0.0148895,0.0000864,406,300,9/18/2019,406.25,2.362963498,297.683,3.36E-07,1.35E-08
238.1065,8.933243,0.52464,0.0025456,0.0194424,0.0001026,418,300,9/18/2019,418.4172414,2.014782033,296.685,4.81E-07,7.58E-09
240.839,8.121899,0.53494,0.0026173,0.0213101,0.0001206,427,300,9/18/2019,427.0603448,2.293311377,296.622,6.32E-07,7.86E-09
222.6016,10.0053,0.55382,0.0038079,0.0220558,0.0001279,418,600,9/19/2019,417.8822034,2.277599252,596.827,3.60E-07,4.74E-09
232.6929,7.630564,0.64454,0.0038588,0.028708,0.0001366,431,600,9/19/2019,430.729661,1.820270916,596.897,5.23E-07,3.67E-09
251.3736,7.79696,0.46649,0.0026173,0.0222621,0.0001298,448,300,9/19/2019,448.2724138,1.961094673,296.622,9.04E-07,1.07E-08
247.7266,6.093609,0.5636,0.0026173,0.028593,0.0001391,460,300,9/19/2019,460.0206897,1.670776542,301.173,1.26E-06,8.24E-09
229.0414,5.627462,0.57158,0.0026173,0.0310637,0.0001485,469,300,9/19/2019,469.0913793,1.793583542,296.703,1.53E-06,1.17E-08
224.8161,4.904629,0.6193,0.0026173,0.0357748,0.000158,480,300,9/19/2019,479.9965517,1.6275011,296.623,1.96E-06,1.13E-08
215.8717,4.028344,0.71328,0.0026907,0.044236,0.0001771,493,300,9/19/2019,493.1051724,1.291595289,296.697,2.73E-06,1.40E-08
206.4055,3.937487,0.69037,0.0026173,0.0453472,0.0001771,502,300,9/19/2019,502.0724138,1.383840715,296.625,3.16E-06,1.87E-08
153.0759,16.23077,0.2440372,0.0019529,0.013105,0.000101,430,1800,9/19/2019,429.9022346,1.835487565,1796.679,1.62E-07,2.19E-09
177.3088,6.464622,0.5019241,0.0021901,0.0323075,0.0001552,460,1800,9/19/2019,459.9592179,1.714303462,1796.695,4.23E-07,2.42E-09
184.7442,2.733415,1.080272,0.0023557,0.0771013,0.000204,490,1800,9/19/2019,490.1960894,1.406960015,1796.695,1.15E-06,4.84E-09
191.6257,4.140941,0.726335,0.0033392,0.0528353,0.0000786,515,600,9/26/2019,514.9228814,1.273424015,596.812,2.72E-06,1.76E-08
193.9332,5.378185,0.440648,0.0019424,0.0320875,0.0000776,526,300,9/26/2019,525.9482759,1.271584366,296.609,3.62E-06,6.09E-09
193.9766,4.68198,0.506725,0.0019739,0.0368996,0.0000956,535,300,9/26/2019,535.1068966,1.784716997,296.614,4.45E-06,6.01E-09
196.1428,4.609575,0.52237,0.0024083,0.0374356,0.0001298,543,300,9/26/2019,542.637931,1.722180135,297.668,4.83E-06,1.16E-08
202.0116,4.254386,0.579532,0.00195,0.0418228,0.000068,552,300,9/26/2019,552.0431034,1.542055141,296.6,5.83E-06,1.02E-08
206.5746,4.256838,0.573821,0.0019138,0.0405143,0.0000783,559,300,9/27/2019,559.3137931,1.70040741,297.685,6.06E-06,5.33E-09
214.2847,4.436798,0.552397,0.0018911,0.0383152,0.0000831,565,300,9/27/2019,564.8568966,1.530062729,296.68,6.16E-06,6.87E-09
