Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,temp,temp_err,time,Da2,Da2_err
414.8405,1.179656,6.29137,0.0084235,0.1881203,0.0003537,430,300,8/23/2019,430.4137931,3.017286353,296.684,5.97E-07,3.26E-08
302.749,2.233911,1.680839,0.0033593,0.0737918,0.0002256,444,300,8/23/2019,444.4344828,2.46317095,296.688,5.60E-07,1.85E-07
327.0605,2.271607,1.694057,0.0031629,0.0716559,0.0002158,457,300,8/23/2019,457.4344828,2.644527731,296.672,7.20E-07,8.88E-09
329.7432,2.319522,1.631306,0.0029669,0.0693558,0.0002061,468,300,8/23/2019,468.5793103,2.610824876,297.672,8.59E-07,7.41E-09
319.1108,2.004288,1.800285,0.0030646,0.0802977,0.0002158,483,300,8/23/2019,483.1344828,2.340606588,296.638,1.31E-06,1.59E-08
314.5261,1.916608,1.810184,0.0029666,0.0845485,0.0002256,495,300,8/24/2019,494.712069,2.224510795,296.699,1.67E-06,1.59E-08
264.5756,4.736656,0.6735441,0.0026187,0.0355924,0.0001276,450,900,8/24/2019,449.9808989,2.326383989,896.58,2.62E-07,3.46E-09
273.9828,2.901314,1.083977,0.0028385,0.0575192,0.0001658,470,900,8/24/2019,470.0101124,2.4090716,897.144,4.62E-07,3.48E-09
281.5359,0.9404559,1.83981,0.0023,0.0925064,0.0002102,500,600,8/24/2019,499.979661,2.152738638,597.391,1.27E-06,7.32E-09
295.6735,2.613144,1.170098,0.0019042,0.059335,0.0001579,514,300,8/24/2019,514.2965517,1.630086158,296.672,1.85E-06,1.35E-08
281.3537,0.701846,2.56044,0.0031,0.131905,0.0002702,514,900,8/24/2019,513.8578652,1.703293567,896.648,1.56E-06,7.23E-09
299.47,1.349688,2.618944,0.0037909,0.1317013,0.0002736,536,600,8/24/2019,535.7110169,2.387065713,596.889,2.77E-06,1.26E-08
311.3791,1.757255,1.884754,0.0025756,0.0903181,0.0001964,557,300,8/24/2019,557.7362069,2.320064902,297.672,4.35E-06,2.94E-08
318.0336,1.608711,2.113814,0.0026727,0.0994694,0.0002158,569,300,8/24/2019,569,2.428919332,296.628,5.35E-06,1.72E-08
323.6164,1.482047,2.366363,0.0031612,0.1097157,0.0002354,581,300,8/24/2019,580.6965517,2.190647226,297.611,6.56E-06,1.26E-08
336.3248,1.252821,3.172612,0.0037513,0.1413363,0.0002944,600,300,8/24/2019,599.8517241,3.580171582,296.627,9.62E-06,2.59E-08
347.2545,1.083588,4.336826,0.0053914,0.186347,0.0003629,600,600,8/24/2019,599.3618644,3.803685111,596.821,7.37E-06,6.58E-08
369.9067,1.33139,3.358057,0.0041463,0.1346144,0.0002747,625,300,8/24/2019,625.0603448,2.437063206,296.61,1.24E-05,1.27E-07
378.9932,1.79023,2.391566,0.0032591,0.0931599,0.0002256,625,300,8/24/2019,625.4017241,2.450026235,296.681,9.46E-06,3.99E-08
388.7915,1.674068,2.574895,0.0035541,0.0980644,0.0002256,637,300,8/24/2019,637.5810345,2.17485284,296.697,1.08E-05,9.43E-09
399.0238,1.579323,2.876874,0.0036526,0.1060206,0.0002256,650,300,8/25/2019,650.1637931,1.87968813,301.248,1.26E-05,1.23E-08
403.7329,1.367515,3.510203,0.0042452,0.1279525,0.0002648,668,300,8/25/2019,668.2741379,1.044544784,296.67,1.70E-05,2.10E-08
407.6902,1.310798,3.662152,0.0047404,0.1322064,0.0002256,684,300,8/25/2019,684.0172414,0.67567716,296.611,1.96E-05,2.52E-08
390.3358,1.509289,3.010481,0.0036526,0.1142052,0.0002354,697,300,8/25/2019,696.8758621,0.741574982,296.672,1.88E-05,1.93E-08
337.0906,0.7472805,3.86905,0.0045,0.1668305,0.0003303,697,900,8/25/2019,697.0292135,0.759899227,896.578,1.03E-05,1.89E-08
317.6465,1.685455,2.137099,0.0033847,0.1003196,0.0002146,717,600,8/25/2019,717.0652542,0.536110895,596.814,1.05E-05,3.22E-08
297.8599,2.7887,1.068176,0.0016224,0.0535962,0.0001297,734,300,8/25/2019,734.0396552,0.5399609,296.678,1.21E-05,1.41E-08
278.2824,2.578094,1.085245,0.0015305,0.0585988,0.0001391,747,300,8/25/2019,746.9844828,0.547338608,297.671,1.38E-05,5.54E-09
252.2578,2.76826,0.9107144,0.0013501,0.0549375,0.0001391,756,300,8/25/2019,756.012069,0.441718171,296.616,1.38E-05,6.43E-09
213.7172,2.913682,0.7677421,0.0011761,0.0536353,0.0001205,767,300,8/25/2019,767.037931,0.411171875,296.677,1.42E-05,6.58E-09
193.657,2.777875,0.7342739,0.0011341,0.0569213,0.0001391,779,300,8/25/2019,778.9862069,0.382259339,296.696,1.59E-05,5.73E-09
176.7405,2.111812,0.8780208,0.0013506,0.0743482,0.0001771,796,300,8/25/2019,796.0706897,0.361288445,296.671,2.22E-05,1.09E-08
176.0347,2.05215,0.9220096,0.0012628,0.0776163,0.0001771,807,300,8/25/2019,807.0413793,0.32392033,296.611,2.52E-05,9.64E-09
184.8353,2.613163,0.7521993,0.0010769,0.0606828,0.0001391,807,300,8/25/2019,807.0241379,0.283654314,296.621,2.13E-05,7.42E-09
189.7947,1.746246,1.252133,0.0024198,0.0972681,0.0001852,807,600,8/25/2019,806.9957627,0.295086274,596.889,1.87E-05,3.09E-09
198.2561,1.230001,2.69996,0.0114018,0.2011092,0.0004107,807,1800,8/25/2019,807.0089385,0.315568921,1796.684,1.59E-05,4.91E-08
190.0725,1.808407,1.212311,0.0024092,0.0962494,0.000195,825,600,8/26/2019,825.0381356,0.324213576,596.88,2.93E-05,1.42E-07
191.9998,1.143292,2.7521,0.0112178,0.2112658,0.0003723,825,1800,8/26/2019,825.0061453,0.286808384,1796.749,2.99E-05,1.42E-07
172.8902,1.229999,1.55086,0.0023953,0.1367205,0.0001658,851,600,8/26/2019,850.9949153,0.264040743,597.317,0.000102432,1.42E-05
181.4603,1.940017,1.57784,0.0112379,0.1241894,0.000317,851,1800,8/26/2019,851.0092179,0.24654237,1796.679,7.89E-05,3.19E-09
250.6118,13.30151,0.1972959,0.0007681,0.0114967,0.0000646,870,300,8/26/2019,870.0517241,0.175422032,296.612,0.000113401,4.93E-08
328.8875,15.35678,0.2327966,0.0020408,0.0101199,0.0000549,870,600,8/26/2019,870.0533898,0.22933654,597.383,7.22E-05,1.06E-09
320.6869,7.972768,0.267596,0.0005,0.0063909,0.000028,870,900,8/26/2019,870.0196629,0.233871612,897.093,4.61E-05,5.05E-10
798.1764,42.39803,0.35642,0.0110427,0.0045718,0.0001486,870,1800,8/26/2019,869.9997207,0.243977584,1796.764,2.52E-05,5.70E-10
1212.112,87.25901,0.1356671,0.0020346,0.0012051,0.0000479,890,600,8/26/2019,889.9661017,0.212522634,596.863,2.73E-05,2.50E-09
1315.364,97.26902,0.1363643,0.0020454,0.0010515,0.0000498,900,600,8/26/2019,900.0228814,0.228488537,596.879,2.80E-05,1.00E-09
1614.305,85.42798,0.1848771,0.0020765,0.0010842,0.0000488,910,600,8/26/2019,910.0211864,0.2214373,596.89,3.47E-05,6.76E-10
1663.858,86.86866,0.1862696,0.0020937,0.0010447,0.0000483,917,600,8/27/2019,916.9889831,0.226751077,596.814,4.19E-05,4.84E-10
2175.029,221.6918,0.1047147,0.000747,0.0003813,0.0000526,927,300,8/27/2019,926.9982759,0.164893777,296.625,3.68E-05,1.67E-09
