Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Run_Date,temp,temp_err,time,Da2,Da2_err
221.2,4.547655,1.430845,0.004334,0.0441699,0.0001669,378,300,9/19/2019,377.4913793,3.34471484,297.601,1.03E-06,5.42E-20
247.6328,13.20072,0.3412261,0.0023971,0.0126598,0.0000763,391,300,9/19/2019,390.9362069,3.092078066,296.699,6.74E-07,1.53E-08
282.5425,14.98476,0.2890298,0.002496,0.0109718,0.0000869,402,300,9/20/2019,402.4931034,2.362043575,296.613,7.21E-07,1.33E-08
317.9044,15.84545,0.2794233,0.0024888,0.0105018,0.0000869,411,300,9/20/2019,411.45,2.086485335,296.694,8.77E-07,2.02E-08
342.3768,13.29446,0.3661572,0.0026624,0.0120123,0.0000972,423,300,9/20/2019,423.0431034,2.200965663,296.617,1.17E-06,2.81E-08
338.4221,13.57117,0.361361,0.0026557,0.0116369,0.0000912,431,300,9/20/2019,431.2637931,2.05329844,296.609,1.31E-06,2.72E-08
355.1461,11.33745,0.4144349,0.0027143,0.0141063,0.0000938,444,300,9/20/2019,443.9,2.015205357,296.683,1.83E-06,2.46E-08
363.7348,8.737226,0.5116689,0.0027753,0.0183788,0.0001106,461,300,9/20/2019,461.3103448,1.702391471,296.612,2.80E-06,2.52E-08
335.317,28.80754,0.2134328,0.002453,0.0079245,0.0000859,422,900,9/20/2019,421.8966292,1.72407017,896.58,4.49E-07,7.62E-09
351.7854,22.65848,0.2749748,0.0025008,0.0100403,0.00009,435,900,9/20/2019,434.938764,2.059623311,896.595,6.13E-07,6.72E-09
354.9123,12.15228,0.5157868,0.0026816,0.018764,0.000101,457,900,9/20/2019,457.0235955,1.7284605,896.567,1.28E-06,1.18E-08
356.4355,10.98432,0.5335487,0.0026718,0.0208441,0.0001106,470,900,9/20/2019,469.9337079,1.666414251,897.084,1.64E-06,2.08E-08
