Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Da2,Da2_err
1399.104,31.14466,0.4361974,0.0014,0.0021937,0.0000251,379.8,1796.7,1.70E-10,2.86E-12
211.0824,95.9504,0.0161518,0.00024,0.0006686,0.0000231,379.9,2996.5,7.15E-11,1.04E-10
66.20698,77.95788,0.0341515,0.00028,0.0013655,0.0000211,420.2,1996.7,3.08E-10,1.03E-10
58.89345,89.65901,0.0188253,0.00023,0.0009503,0.0000271,420.1,2996.5,1.89E-10,1.11E-10
367.7647,37.64767,0.068303,0.0004,0.0023991,0.0000231,470,1796.7,1.08E-09,2.65E-10
240.3888,46.10043,0.0279559,0.00028,0.00197,0.0000201,469.9,2997,7.14E-10,8.74E-11
195.8024,10.10926,0.1067198,0.00048,0.009816,0.0000612,549.8,597.3,3.01E-08,1.20E-09
117.9039,3.782896,0.2541203,0.00079,0.0314072,0.0001003,550.1,2996.5,4.66E-08,3.97E-10
105.594,0.7046331,0.7576925,0.0017,0.1420918,0.000341,649.8,596.8,4.05E-06,3.71E-08
103.934,0.7517337,0.9026034,0.0023,0.1836037,0.0004914,650,2996.5,2.78E-06,2.00E-08
102.7227,2.342876,0.1677072,0.00055,0.0356892,0.0001504,689.8,296.7,8.28E-06,5.00E-08
101.3315,0.832387,0.6620216,0.0015,0.1396458,0.000361,690,1797.7,7.21E-06,7.39E-09
103.29,1.938637,0.2566844,0.00068,0.0537505,0.0001605,730,296.6,2.26E-05,4.23E-08
110.3471,1.687066,0.2937504,0.00069,0.0590619,0.0001605,729.7,601.4,1.45E-05,7.27E-09
111.4958,1.425458,0.3278375,0.00076,0.0644311,0.0001705,779.9,296.7,3.87E-05,1.23E-08
119.1548,2.284732,0.2322913,0.00058,0.0426124,0.0001203,779.2,597.4,1.50E-05,5.14E-09
125.5415,4.176147,0.1316848,0.00043,0.0239518,0.0000983,778.8,596.8,9.41E-06,2.58E-09
114.7169,3.298966,0.1413338,0.00042,0.0281993,0.0001003,799.4,296.6,2.43E-05,5.68E-09
103.7258,7.923343,0.0583248,0.0004,0.0110434,0.0000752,686.8,2996.5,1.01E-06,3.57E-10
120.564,8.166349,0.0884851,0.00061,0.0156684,0.0001103,733.4,2996.5,1.50E-06,3.58E-10
108.5561,2.392184,0.2356539,0.0008,0.0460452,0.0001605,766.6,2996.5,4.95E-06,5.51E-10
102.8271,0.9428075,0.5734568,0.0013,0.123604,0.0003009,799.1,1796.7,3.29E-05,6.29E-09
105.432,2.19432,0.1842781,0.00053,0.0401064,0.0001304,819.9,296.7,0.000103933,3.94E-08
104.9146,0.7906813,0.543938,0.0013,0.1127409,0.0002908,818.8,1796.7,inf,4.99E-09
