Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Da2,Da2_err
1124.722,18.10878,0.3898184,0.001,0.0040775,0.0000221,359.9083,2996.49,1.99E-10,1.16E-12
209.8037,40.49097,0.0233503,0.00021,0.0020678,0.0000261,379.915,2996.492,2.53E-10,5.62E-11
78.84478,32.84217,0.0259925,0.00022,0.00325,0.0000331,400.028,2996.533,6.04E-10,7.14E-11
121.0025,10.94956,0.0711361,0.00036,0.0093608,0.0000481,439.849,1796.681,5.25E-09,1.16E-10
137.9286,4.355122,0.1656479,0.00055,0.0234396,0.0000923,479.777591,1797.741,2.85E-08,3.25E-10
106.3226,2.416069,0.1826626,0.00062,0.0355947,0.0001203,519.92,896.592,1.71E-07,9.70E-10
92.70935,1.166383,0.395706,0.00092,0.0832085,0.0002307,559.9389,896.589,8.47E-07,1.90E-09
94.11863,0.7440017,0.6387273,0.0013,0.1387956,0.000331,599.745,596.883,4.37E-06,6.09E-09
91.9225,0.4386795,1.184863,0.0019,0.2519029,0.0004714,639.93333,597.316,1.67E-05,3.59E-08
94.34846,0.4326586,1.389105,0.0024,0.3038625,0.0005817,699.8,296.627,8.38E-05,3.59E-08
98.6162,1.0555,0.4586152,0.00099,0.1034047,0.0002507,680.1495,596.869,2.22E-05,8.00E-08
89.84361,5.810966,0.0790754,0.00031,0.0174418,0.0000913,629.8971,901.205,2.85E-06,1.00E-08
84.78775,18.95128,0.0304564,0.00019,0.0054366,0.0000371,579.866,1796.753,4.57E-07,1.92E-10
160.83,47.48877,0.0113412,0.00001,0.0012906,0.0000201,469.8299,2996.554,6.56E-08,8.12E-11
160.4766,60.01339,0.0062958,0.0001,0.0011378,0.0000201,524.85,3001.171,5.79E-08,6.16E-11
76.75257,19.89021,0.0195236,0.00021,0.0041123,0.0000311,564.757454,3001.173,2.11E-07,8.32E-11
106.466,7.436416,0.0591377,0.00032,0.0131698,0.0000772,615.07675,1796.69,1.15E-06,3.02E-10
93.43439,1.449789,0.3677205,0.00084,0.0815311,0.0002206,677.962745,1796.754,8.00E-06,1.20E-09
80.22753,1.827111,0.2819149,0.00064,0.0596705,0.0001605,731.903,596.889,2.11E-05,2.65E-09
77.95184,5.238755,0.1045146,0.00035,0.0204873,0.0000772,730.857,596.89,8.08E-06,1.80E-09
82.80021,2.51779,0.1887539,0.00053,0.0384945,0.0001304,760.6324,596.888,1.65E-05,1.53E-09
86.23866,1.150197,0.375658,0.0008,0.078091,0.0001906,785.87094,597.377,4.05E-05,2.52E-09
80.14065,2.644414,0.1823911,0.00045,0.0367523,0.0001304,785.485,596.878,2.35E-05,2.14E-09
93.24562,1.428807,0.2686328,0.00059,0.0566283,0.0001404,800.01453,596.875,4.49E-05,1.71E-09
97.28772,1.621114,0.2466366,0.00062,0.0528249,0.0001504,799.66666,896.592,3.74E-05,1.69E-09
93.23344,1.630562,0.3177108,0.00079,0.0676425,0.0001805,799.41,1797.749,3.93E-05,1.04E-09
90.22049,1.463015,0.3173858,0.00089,0.0671582,0.0002006,798.554439,2996.975,inf,5.19E-10
