Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,temp,temp_err,time,Run_Date,Da2,Da2_err
909.6761,27.47325,0.2310245,0.00061,0.0021126,0.00002,360,2997,364,7,2996.6,5/24/2018,3.55E-11,3.42E-13
556.1577,123.2374,0.0125674,0.000083,0.0004892,0.000019,360,1996,366,6.29,2996.6,5/24/2018,8.66E-09,3.68E-11
555.4621,65.31143,0.0224697,0.000089,0.0007664,0.000022,390,1997,393.44,4.95,1996.44,5/25/2018,2.04E-08,9.88E-11
304.4915,32.98476,0.0593125,0.00014,0.0020946,0.000019,420,1996,422.5,3.56,1996.497,5/25/2018,5.57E-08,1.06E-10
78.52362,61.55755,0.0305097,0.0001,0.0011789,0.0000251,420,1997,422.53,3.99,1996.014,5/25/2018,3.14E-08,1.09E-10
525.4466,19.61802,0.0849045,0.00024,0.0024795,0.0000401,450,1997,451.1,4.563,1996.509,5/25/2018,6.61E-08,1.67E-10
156.1368,40.6591,0.0458743,0.0001,0.0017144,0.0000261,450,1996,451.3,3.673,1996.556,5/25/2018,4.57E-08,9.56E-11
561.5071,16.92401,0.1122367,0.00029,0.0035424,0.000023,480,1996,480.15,3.4799,1996.51,5/25/2018,9.46E-08,7.58E-11
474.6843,24.69373,0.0823649,0.0002,0.0027399,0.000023,480,996,479.82,3.43,1996.57,5/25/2018,7.33E-08,6.99E-11
568.9396,8.023589,0.2021217,0.00049,0.0065743,0.0000361,520,997,520.5055,3.13,992.443,5/25/2018,3.55E-07,4.89E-10
530.4263,11.09597,0.1333818,0.00027,0.0046896,0.0000261,520,996,520.17,3.10266,996.996,5/25/2018,2.53E-07,4.16E-10
569.1667,5.253106,0.3553207,0.00095,0.0115901,0.0000511,550,997,550.26,3.43839,996.496,5/25/2018,6.27E-07,3.33E-10
624.4617,7.852826,0.2438502,0.00058,0.0076747,0.0000371,550,1996,529.956,3.42305,996.994,5/25/2018,4.17E-07,3.24E-10
547.5476,12.91723,0.130446,0.00029,0.0038207,0.0000271,520,1996,519.7389,2.835,1996.509,5/25/2018,1.04E-07,1.42E-10
508.894,75.26937,0.038332,0.00027,0.0007044,0.000021,480,2996,479.789,3.65667,1996.57,5/25/2018,1.92E-08,1.05E-10
704.6062,143.3495,0.0253307,0.000075,0.000156,0.0000251,450,2997,451.85,3.644,2996.102,5/26/2018,2.84E-09,6.57E-11
490.8662,158.9254,0.0075923,0.000085,0.0001333,0.000019,450,1996,451.37592,3.62905,2996.498,5/26/2018,2.42E-09,1.04E-10
580.0358,16.55071,0.1126558,0.00021,0.0033253,0.000023,520,1997,519.900754,3.013366,1996.555,5/26/2018,9.08E-08,1.10E-10
625.7261,15.03283,0.1058697,0.00017,0.0031492,0.000021,520,996,520.329899,3.20425,1997.062,5/26/2018,8.61E-08,6.02E-11
596.2033,3.807408,0.5012889,0.001,0.0165267,0.0000421,580,596,580.1217,4.1223,996.487,5/26/2018,9.11E-07,2.04E-10
565.0939,7.092677,0.218971,0.00037,0.0073271,0.0000351,580,597,580.382203,4.63892176,596.871,5/26/2018,6.78E-07,5.21E-10
554.728,1.9928,0.7490837,0.0013,0.0270527,0.0000681,620,597,620.672881,7.33942243,596.811,5/26/2018,2.53E-06,9.60E-10
572.68,2.966759,0.5681334,0.00097,0.0191876,0.0000501,620,596,619.667797,7.91570851,596.817,5/26/2018,1.82E-06,1.02E-09
679.2009,1.655094,4.042264,0.0084,0.1156223,0.0002505,690,597,690.41,3.4763,596.303,5/26/2018,1.14E-05,3.96E-09
770.3468,2.149985,1.985648,0.0042,0.0486374,0.0001102,690,596,690.62,2.09027466,596.879,5/26/2018,5.02E-06,3.39E-09
799.6757,2.265502,2.394592,0.0054,0.0561378,0.0001403,710,597,710.3846,1.8271711,596.285,5/26/2018,6.00E-06,2.44E-09
814.2968,1.855708,4.641371,0.0096,0.1068508,0.0002204,750,596,750.322,1.5424,596.882,5/26/2018,1.20E-05,2.80E-09
829.7639,2.149163,2.963297,0.007,0.0666653,0.0001603,750,1996,749.977,3.5322,596.38,5/26/2018,7.96E-06,2.69E-09
846.6588,2.245167,3.459434,0.0083,0.0758188,0.0001904,720,1997,719.96005,2.95158874,1996.51,5/26/2018,2.85E-06,8.42E-10
845.6734,2.366314,2.476345,0.0059,0.0540447,0.0001303,720,1996,719.937688,2.8523,1996.507,5/27/2018,2.13E-06,1.27E-09
845.3503,3.837446,0.6738045,0.001,0.0146613,0.0000331,680,1997,680.0092,1.6439,1996.551,5/27/2018,5.94E-07,9.36E-10
909.5968,15.6497,0.1413906,0.00026,0.0029577,0.00002,630,2996,629.82463,7.3777,1996.508,5/27/2018,1.21E-07,1.73E-10
881.4129,5.954772,0.3866103,0.0008,0.0081867,0.000023,630,2997,649.716,6.70469,2996.575,5/27/2018,2.24E-07,6.62E-11
990.0234,37.53373,0.0696606,0.00014,0.0012848,0.000023,600,1996,599.637291,6.5020237,2996.586,5/27/2018,3.52E-08,6.27E-11
860.2639,10.92342,0.2436237,0.00049,0.0051588,0.0000271,650,1997,649.561809,8.4133,1996.572,5/27/2018,2.13E-07,9.74E-11
882.7965,3.286664,0.7361537,0.0012,0.0157977,0.0000451,690,1996,690.13,1.9626,1996.499,5/27/2018,6.57E-07,1.45E-10
858.3706,2.691189,1.848051,0.0039,0.0399626,0.0001002,730,597,730.0711,0.89639,1996.497,5/27/2018,1.70E-06,3.45E-10
841.1324,3.588473,0.7376631,0.0012,0.0164156,0.0000421,750,597,750.308,1.06855,596.814,5/27/2018,2.40E-06,1.54E-09
836.5793,3.874516,0.6754743,0.001,0.0151084,0.0000251,750,1997,750.304,0.9954,596.878,5/27/2018,2.23E-06,8.43E-10
845.4795,2.846553,0.9935762,0.0018,0.0217016,0.0000401,720,1996,719.9206,3.93344,1997.07,5/27/2018,9.75E-07,9.99E-11
864.1397,3.263281,0.8707496,0.0015,0.0187949,0.0000471,720,1997,719.754271,4.3345,1996.036,5/28/2018,8.60E-07,1.11E-10
857.4579,3.069153,0.9898938,0.002,0.0215428,0.0000631,730,1996,730.0964,0.81465,1996.493,5/28/2018,1.00E-06,3.46E-10
869.9004,10.85883,0.2251386,0.00041,0.0047865,0.0000251,680,1997,680.033,2.5739,1997.126,5/28/2018,2.26E-07,3.05E-10
888.2769,48.08018,0.0491561,0.00011,0.0009537,0.000018,630,2996,629.564824,8.066,1996.502,5/28/2018,4.51E-08,8.44E-11
867.9585,32.29907,0.0718191,0.00013,0.0014514,0.000019,630,2997,630.003853,2.709,2996.619,5/28/2018,4.58E-08,3.92E-11
876.042,118.1611,0.0230448,0.000064,0.0004226,0.000023,600,1996,599.892308,7.55231277,2997.107,5/28/2018,1.33E-08,6.09E-11
845.8598,26.57897,0.0898771,0.000096,0.0019658,0.0000251,650,1996,649.334925,10.2701917,1996.492,5/28/2018,9.33E-08,1.08E-10
876.3548,8.893405,0.2763234,0.00054,0.0058357,0.0000251,690,1996,689.915113,2.93065,1996.631,5/28/2018,2.78E-07,7.38E-11
864.1701,2.584468,0.7614733,0.0013,0.0164223,0.0000411,730,596,730.093719,0.82699,1996.526,5/28/2018,7.90E-07,1.18E-10
520.5923,1.972214,0.9221237,0.0016,0.0366995,0.0000742,790,296,790.331624,1.27344,592.334,5/28/2018,6.11E-06,1.32E-09
541.7989,1.987837,0.9675439,0.0017,0.0365012,0.0000721,830,296,830.475,1.4517,296.623,5/28/2018,1.26E-05,1.64E-09
732.3358,2.22558,1.670513,0.0036,0.0442124,0.0001102,870,296,870.355,1.20963564,296.163,5/28/2018,1.59E-05,3.82E-09
866.8577,2.058506,2.879662,0.0062,0.0614982,0.0001303,900,596,900.263793,1.04,296.739,5/29/2018,2.34E-05,2.97E-09
867.011,2.057495,6.736619,0.015,0.1434109,0.0003307,900,596,900.09322,0.741,596.378,5/29/2018,3.07E-05,1.06E-08
882.6945,1.998252,9.764436,0.021,0.2037845,0.0004509,920,596,920.53,4.09968,596.326,5/29/2018,5.62E-05,1.93E-08
889.6203,1.915315,13.4752,0.027,0.2786951,0.0005912,950,296,950.188889,1.235242,596.318,5/29/2018,0.000130436,2.66E-08
893.425,2.062496,5.477648,0.012,0.1127161,0.0002505,970,596,970.506897,2.1547,296.103,5/29/2018,0.00021533,9.27E-09
899.896,2.633782,1.712826,0.0042,0.0351426,0.0000932,970,296,970.228814,1.55629967,596.329,5/30/2018,5.42E-05,5.61E-09
895.072,6.477418,0.416114,0.0012,0.0083953,0.0000421,990,596,990.372414,1.99312,296.686,5/30/2018,3.21E-05,2.66E-09
892.6583,5.038686,0.6971989,0.0018,0.014261,0.0000601,990,2997,989.638136,5.793,596.305,5/30/2018,3.12E-05,9.13E-10
703.0779,17.60093,3.043192,0.017,0.0708332,0.0022045,990,500,989.995,0.6109,2996.491,5/30/2018,inf,6.64E-09
