Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Age,Age_Er,temp,temp_err,time,Da2,Da2_err
0.010265,0.00016,0.000111,0.0000221,360,3000,619.3026,557.5153,360.12,5.04,2996.968,8.96E-14,1.19E-14
0.0027754,0.00011,0.0000465,0.0000221,360,3000,143.5513,1254.085,359.88,4.98,2996.464,9.09E-14,6.12E-11
0.0104924,0.00015,0.0003467,0.0000201,390,3000,510.0362,192.649,389.86,3.361,2996.541,1.67E-12,9.53E-11
0.0073496,0.00015,0.0002975,0.0000201,390,3000,431.3639,257.8123,389.91,3.227,2996.533,2.83E-12,2.60E-11
0.0279194,0.00025,0.0011012,0.0000231,420,3000,184.7261,85.26751,419.992,2.62,2997.042,2.17E-11,2.99E-11
0.0201108,0.0002,0.0009598,0.0000191,420,3000,416.1998,80.29456,419.895,2.6637,2996.542,3.33E-11,3.14E-11
0.0408096,0.00026,0.0020659,0.0000281,450,1800,291.7966,45.43538,450.066,3.07,1796.675,1.95E-10,1.16E-10
0.2070489,0.00069,0.0124986,0.0000501,500,1800,297.7328,7.391253,499.8641,2.129,1796.667,3.39E-09,2.01E-10
0.0229244,0.00018,0.0014968,0.0000231,450,3000,120.2964,52.25952,449.926,2.7644,2996.53,3.96E-10,8.60E-11
0.0500088,0.00027,0.0021533,0.0000241,460,3000,224.7749,35.31196,459.9499,2.997,2997.041,6.27E-10,4.12E-11
0.0709715,0.00038,0.0046233,0.0000341,480,3000,273.3339,18.84745,479.875,3.696,2996.471,1.57E-09,5.52E-11
0.3385708,0.00085,0.0210392,0.0000622,530,1800,308.1568,4.30985,530.12,1.9854,1796.673,1.85E-08,2.05E-10
0.5886625,0.0013,0.0340217,0.0000852,570,960,351.7358,2.654908,570.153,1.6955,956.853,9.89E-08,4.57E-10
0.7793848,0.0017,0.045773,0.0001003,570,1800,348.2956,2.095015,570.129,1.6904,1796.667,1.15E-07,3.17E-10
2.028456,0.0038,0.1125345,0.0002306,630,960,370.2862,1.252823,630.0667,1.1438,957.417,1.01E-06,1.96E-09
1.975986,0.0038,0.1123538,0.0002306,630,1800,365.9355,1.138671,629.99,1.1431,1796.669,9.14E-07,9.81E-10
0.0269572,0.00017,0.0019376,0.0000241,520,1800,193.3778,45.66139,519.892,1.7567,1796.676,1.93E-08,1.55E-09
0.0149316,0.00019,0.0011957,0.0000231,500,3000,184.1792,68.82914,499.983,1.818,2996.464,7.17E-09,4.66E-11
0.0227751,0.00012,0.002933,0.0000221,450,3000,163.69,37.69836,449.9983,3.254,2996.536,1.77E-08,6.27E-11
0.0219817,0.00015,0.0010722,0.0000191,500,3000,195.3751,81.38622,500.01,1.8341,2997.034,6.52E-09,3.77E-11
0.1940798,0.00063,0.0121392,0.0000451,560,3000,342.4225,7.279397,559.931,3.27,2997.016,7.54E-08,7.32E-11
0.4558347,0.001,0.0262334,0.0000712,600,1800,365.7054,3.397038,599.984,2.91,1796.729,2.89E-07,1.41E-10
1.47784,0.0025,0.0813521,0.0001605,640,1800,377.6767,1.333976,640.036,0.95,1801.229,1.05E-06,8.66E-10
2.673966,0.005,0.1447093,0.0002908,670,1800,382.0346,1.081083,669.4966,1.04,1796.665,2.49E-06,1.07E-09
2.618242,0.0051,0.1346386,0.0002808,730,600,404.9118,1.110156,724.372,1.12767,597.347,9.46E-06,4.26E-09
2.762061,0.0053,0.1431788,0.0002908,750,600,405.4747,1.107817,745.13,0.94,596.872,1.32E-05,6.22E-09
4.174287,0.0078,0.214321,0.0004312,780,600,406.4339,1.004604,778.019658,0.4569,596.869,2.74E-05,1.00E-08
7.453327,0.013,0.3793138,0.000712,780,1800,410.1822,0.931271,776.498,0.569566,1796.66,2.81E-05,1.00E-08
1.484722,0.0025,0.0748035,0.0001404,820,300,408.4051,1.517208,810.642,2.5355,296.595,5.25E-05,3.00E-08
2.159187,0.0041,0.1084902,0.0002206,820,600,414.6552,1.22866,806.183,2.3099,596.797,4.82E-05,2.03E-09
2.364498,0.0048,0.1179449,0.0002507,820,1800,415.3036,1.212519,803.581,2.04,1799,2.59E-05,9.67E-10
2.837274,0.0075,0.1395015,0.0004011,820,3000,415.6311,1.74978,801,2.5,2997,3.87E-05,8.14E-10
1.313234,0.0024,0.0652812,0.0001404,830,960,416.722,1.433388,810,2.4,956.905,inf,2.18E-09
